countyname,countyfips,density,total_population,ruralurban
Autauga,1001,94.3,56059,Rural
Baldwin,1003,141.8,225463,Rural
Barbour,1005,27.8,24575,Rural
Bibb,1007,36.0,22427,Rural
Blount,1009,89.9,57997,Rural
Bullock,1011,16.2,10096,Rural
Butler,1013,25.0,19424,Rural
Calhoun,1015,187.7,113714,Rural
Chambers,1017,55.8,33275,Rural
Cherokee,1019,47.6,26346,Rural
Chilton,1021,64.3,44525,Rural
Choctaw,1023,13.8,12574,Rural
Clarke,1025,19.0,23592,Rural
Clay,1027,21.9,13250,Rural
Cleburne,1029,26.7,14941,Rural
Coffee,1031,77.4,52521,Rural
Colbert,1033,93.4,55354,Rural
Conecuh,1035,14.2,12050,Rural
Coosa,1037,16.4,10687,Rural
Covington,1039,36.0,37134,Rural
Crenshaw,1041,22.7,13798,Rural
Cullman,1043,114.4,84084,Rural
Dale,1045,87.5,49102,Rural
Dallas,1047,37.8,36960,Rural
DeKalb,1049,92.2,71651,Rural
Elmore,1051,132.0,81661,Rural
Escambia,1053,38.9,36768,Rural
Etowah,1055,191.4,102381,Rural
Fayette,1057,26.0,16311,Rural
Franklin,1059,49.5,31353,Rural
Geneva,1061,45.8,26333,Rural
Greene,1063,12.5,8096,Rural
Hale,1065,22.7,14647,Rural
Henry,1067,30.8,17283,Rural
Houston,1069,183.1,106174,Rural
Jackson,1071,48.0,51745,Rural
Jefferson,1073,592.9,658926,Urban
Lamar,1075,22.8,13811,Rural
Lauderdale,1077,139.2,92926,Rural
Lawrence,1079,47.8,32984,Rural
Lee,1081,272.2,165375,Rural
Limestone,1083,178.3,99825,Rural
Lowndes,1085,13.5,9686,Rural
Macon,1087,29.6,18031,Rural
Madison,1089,467.8,374983,Rural
Marengo,1091,19.3,18832,Rural
Marion,1093,40.1,29782,Rural
Marshall,1095,171.4,96982,Rural
Mobile,1097,336.2,413330,Rural
Monroe,1099,20.2,20697,Rural
Montgomery,1101,288.1,225904,Rural
Morgan,1103,206.9,119864,Rural
Perry,1105,12.4,8905,Rural
Pickens,1107,22.6,19928,Rural
Pike,1109,49.3,33118,Rural
Randolph,1111,39.2,22779,Rural
Russell,1113,90.6,58095,Rural
St. Clair,1115,142.4,90004,Rural
Shelby,1117,278.4,218514,Rural
Sumter,1119,13.7,12396,Rural
Talladega,1121,108.6,80019,Rural
Tallapoosa,1123,56.4,40416,Rural
Tuscaloosa,1125,158.9,210089,Rural
Walker,1127,80.5,63655,Rural
Washington,1129,15.1,16314,Rural
Wilcox,1131,11.7,10364,Rural
Winston,1133,38.6,23651,Rural
Aleutians East,2013,0.5,3335,Rural
Aleutians West,2016,1.3,5623,Rural
Anchorage,2020,168.4,287009,Rural
Bethel,2050,0.5,18348,Rural
Bristol Bay,2060,1.6,831,Rural
Denali,2068,0.2,2101,Rural
Dillingham,2070,0.3,4905,Rural
Fairbanks North Star,2090,13.1,96444,Rural
Haines,2100,1.1,2524,Rural
Hoonah-Angoon,2105,0.3,2146,Rural
Juneau,2110,11.8,31981,Rural
Kenai Peninsula,2122,3.7,58806,Rural
Ketchikan Gateway,2130,2.9,13928,Rural
Kodiak Island,2150,2.0,12896,Rural
Kusilvak,2158,0.5,8280,Rural
Lake and Peninsula,2164,0.1,1581,Rural
Matanuska-Susitna,2170,4.4,108894,Rural
Nome,2180,0.4,9945,Rural
North Slope,2185,0.1,9821,Rural
Northwest Arctic,2188,0.2,7564,Rural
Petersburg,2195,1.0,3258,Rural
Prince of Wales-Hyder,2198,1.6,6186,Rural
Sitka,2220,3.0,8497,Rural
Skagway,2230,2.6,1182,Rural
Southeast Fairbanks,2240,0.3,6867,Rural
Valdez-Cordova,2261,0.3,9196,Rural
Wrangell,2275,1.0,2491,Rural
Yakutat,2282,0.1,577,Rural
Yukon-Koyukuk,2290,0.0,5195,Rural
Apache,4001,6.4,72068,Rural
Cochise,4003,20.4,125866,Rural
Coconino,4005,7.8,144552,Rural
Gila,4007,11.4,54198,Rural
Graham,4009,8.4,39011,Rural
Greenlee,4011,5.2,9493,Rural
La Paz,4012,4.7,21195,Rural
Maricopa,4013,490.5,4512331,Rural
Mohave,4015,16.1,213678,Rural
Navajo,4017,11.2,111160,Rural
Pima,4019,114.6,1052466,Rural
Pinal,4021,87.1,467550,Rural
Santa Cruz,4023,37.6,46451,Rural
Yavapai,4025,29.2,237378,Rural
Yuma,4027,38.8,214121,Rural
Arkansas,5001,17.7,17468,Rural
Ashley,5003,21.2,19602,Rural
Baxter,5005,76.2,42212,Rural
Benton,5007,331.7,281073,Rural
Boone,5009,63.6,37552,Rural
Bradley,5011,16.6,10800,Rural
Calhoun,5013,8.3,5221,Rural
Carroll,5015,45.2,28510,Rural
Chicot,5017,15.6,10063,Rural
Clark,5019,25.7,22280,Rural
Clay,5021,22.8,14558,Rural
Cleburne,5023,45.1,24967,Rural
Cleveland,5025,13.3,7949,Rural
Columbia,5027,30.6,23424,Rural
Conway,5029,37.9,20908,Rural
Craighead,5031,156.8,110860,Rural
Crawford,5033,107.0,63436,Rural
Crittenden,5035,78.5,47837,Rural
Cross,5037,26.6,16401,Rural
Dallas,5039,10.5,6995,Rural
Desha,5041,14.7,11324,Rural
Drew,5043,22.0,18244,Rural
Faulkner,5045,195.0,126340,Rural
Franklin,5047,29.2,17763,Rural
Fulton,5049,20.3,12550,Rural
Garland,5051,147.5,99945,Rural
Grant,5053,29.0,18332,Rural
Greene,5055,78.7,45465,Rural
Hempstead,5057,29.6,21504,Rural
Hot Spring,5059,55.1,33867,Rural
Howard,5061,22.5,13225,Rural
Independence,5063,49.6,37914,Rural
Izard,5065,23.6,13679,Rural
Jackson,5067,26.4,16722,Rural
Jefferson,5069,76.4,66485,Rural
Johnson,5071,40.4,26672,Rural
Lafayette,5073,12.5,6612,Rural
Lawrence,5075,27.9,16415,Rural
Lee,5077,14.7,8831,Rural
Lincoln,5079,23.3,13081,Rural
Little River,5081,23.1,12275,Rural
Logan,5083,30.4,21501,Rural
Lonoke,5085,95.6,73667,Rural
Madison,5087,20.0,16674,Rural
Marion,5089,28.2,16821,Rural
Miller,5091,69.3,43325,Rural
Mississippi,5093,44.9,40449,Rural
Monroe,5095,11.0,6680,Rural
Montgomery,5097,11.6,9025,Rural
Nevada,5099,13.4,8258,Rural
Newton,5101,9.5,7771,Rural
Ouachita,5103,31.9,23384,Rural
Perry,5105,19.0,10478,Rural
Phillips,5107,25.4,17639,Rural
Pike,5109,17.9,10736,Rural
Poinsett,5111,31.0,23537,Rural
Polk,5113,23.3,20000,Rural
Pope,5115,79.2,64342,Rural
Prairie,5117,12.4,8057,Rural
Pulaski,5119,516.2,392189,Urban
Randolph,5121,27.7,18036,Rural
St. Francis,5123,39.1,24832,Rural
Saline,5125,170.4,123287,Rural
Scott,5127,11.5,10284,Rural
Searcy,5129,11.9,7903,Rural
Sebastian,5131,240.7,128014,Rural
Sevier,5133,30.1,17018,Rural
Sharp,5135,29.1,17579,Rural
Stone,5137,20.7,12555,Rural
Union,5139,37.2,38617,Rural
Van Buren,5141,23.4,16571,Rural
Washington,5143,254.9,240117,Rural
White,5145,76.3,79013,Rural
Woodruff,5147,10.7,6307,Rural
Yell,5149,23.0,21367,Rural
Alameda,6001,2261.3,1671168,Urban
Alpine,6003,1.5,1136,Rural
Amador,6005,67.5,40131,Rural
Butte,6007,133.9,219114,Rural
Calaveras,6009,45.1,46038,Rural
Colusa,6011,18.8,21605,Rural
Contra Costa,6013,1613.5,1155188,Urban
Del Norte,6015,27.8,27972,Rural
El Dorado,6017,113.5,193913,Rural
Fresno,6019,168.1,1001679,Rural
Glenn,6021,21.7,28526,Rural
Humboldt,6023,38.1,135819,Rural
Imperial,6025,43.3,180991,Rural
Inyo,6027,1.8,18076,Rural
Kern,6029,111.1,903079,Rural
Kings,6031,110.5,153468,Rural
Lake,6033,51.4,64614,Rural
Lassen,6035,6.7,30568,Rural
Los Angeles,6037,2474.4,10040723,Urban
Madera,6039,73.9,157915,Rural
Marin,6041,497.8,259027,Rural
Mariposa,6043,11.9,17246,Rural
Mendocino,6045,24.8,86919,Rural
Merced,6047,144.3,279313,Rural
Modoc,6049,2.3,8840,Rural
Mono,6051,4.7,14362,Rural
Monterey,6053,132.5,434621,Rural
Napa,6055,184.4,137969,Rural
Nevada,6057,104.6,100191,Rural
Orange,6059,4019.8,3177905,Urban
Placer,6061,285.3,401405,Rural
Plumas,6063,7.4,18885,Rural
Riverside,6065,344.7,2483726,Rural
Sacramento,6067,1613.9,1556817,Urban
San Benito,6069,45.6,63266,Rural
San Bernardino,6071,109.0,2185317,Rural
San Diego,6073,795.1,3344694,Urban
San Francisco,6075,18825.8,882417,Urban
San Joaquin,6077,550.2,765512,Urban
San Luis Obispo,6079,86.1,284085,Rural
San Mateo,6081,1707.9,765837,Urban
Santa Barbara,6083,163.6,447530,Rural
Santa Clara,6085,1491.6,1924317,Urban
Santa Cruz,6087,614.4,273524,Urban
Shasta,6089,47.9,180772,Rural
Sierra,6091,3.2,3009,Rural
Siskiyou,6093,7.0,43732,Rural
Solano,6095,546.5,449107,Urban
Sonoma,6097,313.8,494527,Rural
