density,total_population,cancer,binge,csmoking,lpa,sleep,cancer_risk
94.3,56059,6.5,15.0,19.7,32.2,38.4,6.5-7
141.8,225463,6.7,19.0,19.9,27.6,36.4,6.5-7
27.8,24575,6.2,13.7,27.8,41.6,40.9,6-6.5
36.0,22427,6.5,15.6,25.2,37.7,40.1,6.5-7
89.9,57997,6.7,15.7,22.2,33.3,38.8,6.5-7
16.2,10096,5.8,13.2,25.2,41.3,44.7,5.5-6
25.0,19424,6.3,13.2,24.6,40.7,42.0,6-6.5
187.7,113714,6.6,15.3,22.6,32.6,38.3,6.5-7
55.8,33275,6.4,13.8,23.6,36.9,40.5,6-6.5
47.6,26346,6.7,15.6,24.7,36.0,37.9,6.5-7
64.3,44525,6.5,15.1,23.9,35.3,38.7,6.5-7
13.8,12574,6.3,13.6,24.6,37.8,41.7,6-6.5
19.0,23592,6.2,13.4,25.0,39.6,42.7,6-6.5
21.9,13250,6.6,14.8,25.6,37.1,38.9,6.5-7
26.7,14941,6.8,15.8,23.8,33.6,38.2,6.5-7
77.4,52521,6.4,15.1,20.7,33.3,37.4,6-6.5
93.4,55354,6.6,15.5,21.5,33.2,39.8,6.5-7
14.2,12050,6.2,13.2,25.1,39.5,43.9,6-6.5
16.4,10687,6.4,14.8,23.7,34.8,41.2,6-6.5
36.0,37134,6.8,14.8,24.7,35.6,37.7,6.5-7
22.7,13798,6.5,14.6,24.0,35.6,38.6,6.5-7
114.4,84084,6.7,16.4,23.4,33.6,36.5,6.5-7
87.5,49102,6.4,14.8,22.0,32.9,40.8,6-6.5
37.8,36960,6.0,12.3,24.3,41.2,44.0,6-6.5
92.2,71651,6.6,14.1,25.0,40.5,38.8,6.5-7
132.0,81661,6.6,15.5,20.4,33.1,38.8,6.5-7
38.9,36768,6.4,13.9,24.6,39.1,42.9,6-6.5
191.4,102381,6.7,14.7,23.5,33.9,38.8,6.5-7
26.0,16311,6.7,15.0,24.5,35.4,39.8,6.5-7
49.5,31353,6.5,14.9,22.8,37.2,38.8,6.5-7
45.8,26333,6.7,14.9,25.2,35.4,38.0,6.5-7
12.5,8096,5.8,10.8,28.2,45.9,47.8,5.5-6
22.7,14647,6.2,13.0,25.8,39.5,43.3,6-6.5
30.8,17283,6.5,15.3,22.5,34.9,39.7,6.5-7
183.1,106174,6.6,14.1,21.7,35.9,39.8,6.5-7
48.0,51745,6.8,15.3,24.1,35.7,39.6,6.5-7
592.9,658926,6.3,15.2,17.6,30.4,39.7,6-6.5
