"FIPS","Name of Area","Qualifying Name","Nation","State","County","Census Tract","Block Group","City","Metropolitan Statistical Area/Micropolitan Statistical Area","ZIP Code","Population Density","Population (1/1/2020)","Total Population","Population, Urban","Population, Rural"
Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,Geo_BG,Geo_CITY,Geo_MSAMSA,Geo_ZC,ORG_DENSITY,ORG_TOT_POP,ORG_TOT_POP1,ORG_URBANPOP,ORG_RURALPOP
"01001","Autauga","Autauga, Alabama","00","01","001",,,,,,94.3,56059,56059,32635,23424
"01003","Baldwin","Baldwin, Alabama","00","01","003",,,,,,141.8,225463,225463,129911,95552
"01005","Barbour","Barbour, Alabama","00","01","005",,,,,,27.8,24575,24575,7921,16654
"01007","Bibb","Bibb, Alabama","00","01","007",,,,,,36,22427,22427,7072,15355
"01009","Blount","Blount, Alabama","00","01","009",,,,,,89.9,57997,57997,5806,52191
"01011","Bullock","Bullock, Alabama","00","01","011",,,,,,16.2,10096,10096,4898,5198
"01013","Butler","Butler, Alabama","00","01","013",,,,,,25,19424,19424,5584,13840
"01015","Calhoun","Calhoun, Alabama","00","01","015",,,,,,187.7,113714,113714,75269,38445
"01017","Chambers","Chambers, Alabama","00","01","017",,,,,,55.8,33275,33275,16919,16356
"01019","Cherokee","Cherokee, Alabama","00","01","019",,,,,,47.6,26346,26346,3756,22590
"01021","Chilton","Chilton, Alabama","00","01","021",,,,,,64.3,44525,44525,5876,38649
"01023","Choctaw","Choctaw, Alabama","00","01","023",,,,,,13.8,12574,12574,0,12574
"01025","Clarke","Clarke, Alabama","00","01","025",,,,,,19,23592,23592,5678,17914
"01027","Clay","Clay, Alabama","00","01","027",,,,,,21.9,13250,13250,0,13250
"01029","Cleburne","Cleburne, Alabama","00","01","029",,,,,,26.7,14941,14941,0,14941
"01031","Coffee","Coffee, Alabama","00","01","031",,,,,,77.4,52521,52521,27830,24691
"01033","Colbert","Colbert, Alabama","00","01","033",,,,,,93.4,55354,55354,31060,24294
"01035","Conecuh","Conecuh, Alabama","00","01","035",,,,,,14.2,12050,12050,2301,9749
"01037","Coosa","Coosa, Alabama","00","01","037",,,,,,16.4,10687,10687,0,10687
"01039","Covington","Covington, Alabama","00","01","039",,,,,,36,37134,37134,11291,25843
"01041","Crenshaw","Crenshaw, Alabama","00","01","041",,,,,,22.7,13798,13798,0,13798
"01043","Cullman","Cullman, Alabama","00","01","043",,,,,,114.4,84084,84084,22443,61641
"01045","Dale","Dale, Alabama","00","01","045",,,,,,87.5,49102,49102,24077,25025
"01047","Dallas","Dallas, Alabama","00","01","047",,,,,,37.8,36960,36960,20130,16830
"01049","DeKalb","Dekalb, Alabama","00","01","049",,,,,,92.2,71651,71651,7081,64570
"01051","Elmore","Elmore, Alabama","00","01","051",,,,,,132,81661,81661,36870,44791
"01053","Escambia","Escambia, Alabama","00","01","053",,,,,,38.9,36768,36768,13545,23223
"01055","Etowah","Etowah, Alabama","00","01","055",,,,,,191.4,102381,102381,64046,38335
"01057","Fayette","Fayette, Alabama","00","01","057",,,,,,26,16311,16311,3214,13097
"01059","Franklin","Franklin, Alabama","00","01","059",,,,,,49.5,31353,31353,9289,22064
"01061","Geneva","Geneva, Alabama","00","01","061",,,,,,45.8,26333,26333,2738,23595
"01063","Greene","Greene, Alabama","00","01","063",,,,,,12.5,8096,8096,0,8096
"01065","Hale","Hale, Alabama","00","01","065",,,,,,22.7,14647,14647,1591,13056
"01067","Henry","Henry, Alabama","00","01","067",,,,,,30.8,17283,17283,2117,15166
"01069","Houston","Houston, Alabama","00","01","069",,,,,,183.1,106174,106174,70233,35941
"01071","Jackson","Jackson, Alabama","00","01","071",,,,,,48,51745,51745,11900,39845
"01073","Jefferson","Jefferson, Alabama","00","01","073",,,,,,592.9,658926,658926,593970,64956
"01075","Lamar","Lamar, Alabama","00","01","075",,,,,,22.8,13811,13811,0,13811
"01077","Lauderdale","Lauderdale, Alabama","00","01","077",,,,,,139.2,92926,92926,47161,45765
"01079","Lawrence","Lawrence, Alabama","00","01","079",,,,,,47.8,32984,32984,2864,30120
"01081","Lee","Lee, Alabama","00","01","081",,,,,,272.2,165375,165375,119550,45825
"01083","Limestone","Limestone, Alabama","00","01","083",,,,,,178.3,99825,99825,42167,57658
"01085","Lowndes","Lowndes, Alabama","00","01","085",,,,,,13.5,9686,9686,0,9686
"01087","Macon","Macon, Alabama","00","01","087",,,,,,29.6,18031,18031,8069,9962
"01089","Madison","Madison, Alabama","00","01","089",,,,,,467.8,374983,374983,313094,61889
"01091","Marengo","Marengo, Alabama","00","01","091",,,,,,19.3,18832,18832,5788,13044
"01093","Marion","Marion, Alabama","00","01","093",,,,,,40.1,29782,29782,3295,26487
"01095","Marshall","Marshall, Alabama","00","01","095",,,,,,171.4,96982,96982,45278,51704
"01097","Mobile","Mobile, Alabama","00","01","097",,,,,,336.2,413330,413330,330312,83018
"01099","Monroe","Monroe, Alabama","00","01","099",,,,,,20.2,20697,20697,4355,16342
"01101","Montgomery","Montgomery, Alabama","00","01","101",,,,,,288.1,225904,225904,202240,23664
"01103","Morgan","Morgan, Alabama","00","01","103",,,,,,206.9,119864,119864,73489,46375
"01105","Perry","Perry, Alabama","00","01","105",,,,,,12.4,8905,8905,0,8905
"01107","Pickens","Pickens, Alabama","00","01","107",,,,,,22.6,19928,19928,0,19928
"01109","Pike","Pike, Alabama","00","01","109",,,,,,49.3,33118,33118,16133,16985
"01111","Randolph","Randolph, Alabama","00","01","111",,,,,,39.2,22779,22779,4234,18545
"01113","Russell","Russell, Alabama","00","01","113",,,,,,90.6,58095,58095,37539,20556
"01115","St Clair","St Clair, Alabama","00","01","115",,,,,,142.4,90004,90004,24437,65567
"01117","Shelby","Shelby, Alabama","00","01","117",,,,,,278.4,218514,218514,168051,50463
"01119","Sumter","Sumter, Alabama","00","01","119",,,,,,13.7,12396,12396,0,12396
"01121","Talladega","Talladega, Alabama","00","01","121",,,,,,108.6,80019,80019,35244,44775
"01123","Tallapoosa","Tallapoosa, Alabama","00","01","123",,,,,,56.4,40416,40416,10406,30010
"01125","Tuscaloosa","Tuscaloosa, Alabama","00","01","125",,,,,,158.9,210089,210089,155955,54134
"01127","Walker","Walker, Alabama","00","01","127",,,,,,80.5,63655,63655,16478,47177
"01129","Washington","Washington, Alabama","00","01","129",,,,,,15.1,16314,16314,0,16314
"01131","Wilcox","Wilcox, Alabama","00","01","131",,,,,,11.7,10364,10364,0,10364
"01133","Winston","Winston, Alabama","00","01","133",,,,,,38.6,23651,23651,3562,20089
"02013","Aleutians East Borough","Aleutians East Borough, Alaska","00","02","013",,,,,,0.5,3335,3335,0,3335
"02016","Aleutians West Census Area","Aleutians West Census Area, Alaska","00","02","016",,,,,,1.3,5623,5623,0,5623
"02020","Anchorage Municipality","Anchorage Municipality, Alaska","00","02","020",,,,,,168.4,287009,287009,275223,11786
"02050","Bethel Census Area","Bethel Census Area, Alaska","00","02","050",,,,,,0.5,18348,18348,4772,13576
"02060","Bristol Bay Borough","Bristol Bay Borough, Alaska","00","02","060",,,,,,1.6,831,831,0,831
"02068","Denali Borough","Denali Borough, Alaska","00","02","068",,,,,,0.2,2101,2101,0,2101
"02070","Dillingham Census Area","Dillingham Census Area, Alaska","00","02","070",,,,,,0.3,4905,4905,0,4905
"02090","Fairbanks North Star Borough","Fairbanks North Star Borough, Alaska","00","02","090",,,,,,13.1,96444,96444,66675,29769
"02100","Haines Borough","Haines Borough, Alaska","00","02","100",,,,,,1.1,2524,2524,0,2524
"02105","Hoonah-Angoon Census Area","Hoonah-Angoon Census Area, Alaska","00","02","105",,,,,,0.3,2146,2146,0,2146
"02110","Juneau City and Borough","Juneau City And Borough, Alaska","00","02","110",,,,,,11.8,31981,31981,25112,6869
"02122","Kenai Peninsula Borough","Kenai Peninsula Borough, Alaska","00","02","122",,,,,,3.7,58806,58806,12061,46745
"02130","Ketchikan Gateway Borough","Ketchikan Gateway Borough, Alaska","00","02","130",,,,,,2.9,13928,13928,10637,3291
"02150","Kodiak Island Borough","Kodiak Island Borough, Alaska","00","02","150",,,,,,2,12896,12896,8910,3986
"02158","Kusilvak Census Area","Kusilvak Census Area, Alaska","00","02","158",,,,,,0.5,8280,8280,0,8280
"02164","Lake and Peninsula Borough","Lake And Peninsula Borough, Alaska","00","02","164",,,,,,0.1,1581,1581,0,1581
"02170","Matanuska-Susitna Borough","Matanuska-Susitna Borough, Alaska","00","02","170",,,,,,4.4,108894,108894,54325,54569
"02180","Nome Census Area","Nome Census Area, Alaska","00","02","180",,,,,,0.4,9945,9945,3402,6543
"02185","North Slope Borough","North Slope Borough, Alaska","00","02","185",,,,,,0.1,9821,9821,4085,5736
"02188","Northwest Arctic Borough","Northwest Arctic Borough, Alaska","00","02","188",,,,,,0.2,7564,7564,3216,4348
"02195","Petersburg Census Area","Petersburg Census Area, Alaska","00","02","195",,,,,,1,3258,3258,0,3258
"02198","Prince of Wales-Hyder Census Area","Prince Of Wales-Hyder Census Area, Alaska","00","02","198",,,,,,1.6,6186,6186,0,6186
"02220","Sitka City and Borough","Sitka City And Borough, Alaska","00","02","220",,,,,,3,8497,8497,6726,1771
"02230","Skagway Municipality","Skagway Municipality, Alaska","00","02","230",,,,,,2.6,1182,1182,0,1182
"02240","Southeast Fairbanks Census Area","Southeast Fairbanks Census Area, Alaska","00","02","240",,,,,,0.3,6867,6867,0,6867
"02261","Valdez-Cordova Census Area","Valdez-Cordova Census Area, Alaska","00","02","261",,,,,,0.3,9196,9196,0,9196
"02275","Wrangell City and Borough","Wrangell City And Borough, Alaska","00","02","275",,,,,,1,2491,2491,0,2491
"02282","Yakutat City and Borough","Yakutat City And Borough, Alaska","00","02","282",,,,,,0.1,577,577,0,577
