CountyFIPS,CountyName,StateDesc
40065,Jackson,Oklahoma
17101,Lawrence,Illinois
20009,Barton,Kansas
2020,Anchorage,Alaska
40137,Stephens,Oklahoma
54059,Mingo,West Virginia
27017,Carlton,Minnesota
31023,Butler,Nebraska
21087,Green,Kentucky
51005,Alleghany,Virginia
48215,Hidalgo,Texas
29209,Stone,Missouri
29037,Cass,Missouri
47049,Fentress,Tennessee
19041,Clay,Iowa
36103,Suffolk,New York
27047,Freeborn,Minnesota
31129,Nuckolls,Nebraska
39103,Medina,Ohio
28021,Claiborne,Mississippi
17069,Hardin,Illinois
48179,Gray,Texas
21063,Elliott,Kentucky
28137,Tate,Mississippi
12091,Okaloosa,Florida
48443,Terrell,Texas
27111,Otter Tail,Minnesota
5055,Greene,Arkansas
51145,Powhatan,Virginia
35053,Socorro,New Mexico
23027,Waldo,Maine
22111,Union,Louisiana
42103,Pike,Pennsylvania
42125,Washington,Pennsylvania
55013,Burnett,Wisconsin
18127,Porter,Indiana
45051,Horry,South Carolina
4011,Greenlee,Arizona
45041,Florence,South Carolina
54033,Harrison,West Virginia
39133,Portage,Ohio
40001,Adair,Oklahoma
28107,Panola,Mississippi
38083,Sheridan,North Dakota
30071,Phillips,Montana
49003,Box Elder,Utah
39059,Guernsey,Ohio
33007,Coos,New Hampshire
38011,Bowman,North Dakota
42039,Crawford,Pennsylvania
13187,Lumpkin,Georgia
29153,Ozark,Missouri
21225,Union,Kentucky
12057,Hillsborough,Florida
31151,Saline,Nebraska
46102,Oglala Lakota,South Dakota
51115,Mathews,Virginia
26013,Baraga,Michigan
19115,Louisa,Iowa
20043,Doniphan,Kansas
51580,Covington,Virginia
12029,Dixie,Florida
17067,Hancock,Illinois
21077,Gallatin,Kentucky
8011,Bent,Colorado
47071,Hardin,Tennessee
37019,Brunswick,North Carolina
20011,Bourbon,Kansas
36025,Delaware,New York
27003,Anoka,Minnesota
49021,Iron,Utah
48145,Falls,Texas
13267,Tattnall,Georgia
36045,Jefferson,New York
47143,Rhea,Tennessee
46137,Ziebach,South Dakota
47105,Loudon,Tennessee
21181,Nicholas,Kentucky
20149,Pottawatomie,Kansas
37185,Warren,North Carolina
13165,Jenkins,Georgia
48073,Cherokee,Texas
6097,Sonoma,California
48043,Brewster,Texas
20107,Linn,Kansas
1001,Autauga,Alabama
23005,Cumberland,Maine
45031,Darlington,South Carolina
18161,Union,Indiana
16009,Benewah,Idaho
17143,Peoria,Illinois
35043,Sandoval,New Mexico
26129,Ogemaw,Michigan
37133,Onslow,North Carolina
37121,Mitchell,North Carolina
2198,Prince of Wales-Hyder,Alaska
29133,Mississippi,Missouri
42073,Lawrence,Pennsylvania
29143,New Madrid,Missouri
21235,Whitley,Kentucky
31065,Furnas,Nebraska
13191,McIntosh,Georgia
12067,Lafayette,Florida
42013,Blair,Pennsylvania
46005,Beadle,South Dakota
36055,Monroe,New York
24017,Charles,Maryland
39069,Henry,Ohio
32007,Elko,Nevada
13045,Carroll,Georgia
20179,Sheridan,Kansas
5119,Pulaski,Arkansas
24039,Somerset,Maryland
13277,Tift,Georgia
22091,St. Helena,Louisiana
42131,Wyoming,Pennsylvania
47169,Trousdale,Tennessee
16063,Lincoln,Idaho
53047,Okanogan,Washington
18131,Pulaski,Indiana
55051,Iron,Wisconsin
37069,Franklin,North Carolina
21025,Breathitt,Kentucky
41005,Clackamas,Oregon
39149,Shelby,Ohio
51730,Petersburg,Virginia
29229,Wright,Missouri
28011,Bolivar,Mississippi
5009,Boone,Arkansas
39123,Ottawa,Ohio
17177,Stephenson,Illinois
18067,Howard,Indiana
26119,Montmorency,Michigan
36109,Tompkins,New York
6063,Plumas,California
8063,Kit Carson,Colorado
41047,Marion,Oregon
48199,Hardin,Texas
21151,Madison,Kentucky
50005,Caledonia,Vermont
29079,Grundy,Missouri
48243,Jeff Davis,Texas
47135,Perry,Tennessee
46041,Dewey,South Dakota
46069,Hyde,South Dakota
51185,Tazewell,Virginia
39039,Defiance,Ohio
28085,Lincoln,Mississippi
48507,Zavala,Texas
35025,Lea,New Mexico
48273,Kleberg,Texas
30041,Hill,Montana
21003,Allen,Kentucky
48009,Archer,Texas
54097,Upshur,West Virginia
53001,Adams,Washington
48135,Ector,Texas
28001,Adams,Mississippi
28043,Grenada,Mississippi
9001,Fairfield,Connecticut
51790,Staunton,Virginia
29173,Ralls,Missouri
37099,Jackson,North Carolina
42009,Bedford,Pennsylvania
55101,Racine,Wisconsin
18089,Lake,Indiana
21161,Mason,Kentucky
48297,Live Oak,Texas
29123,Madison,Missouri
48307,McCulloch,Texas
38049,McHenry,North Dakota
1011,Bullock,Alabama
31149,Rock,Nebraska
55121,Trempealeau,Wisconsin
19169,Story,Iowa
54041,Lewis,West Virginia
24027,Howard,Maryland
13127,Glynn,Georgia
5019,Clark,Arkansas
39113,Montgomery,Ohio
42077,Lehigh,Pennsylvania
8007,Archuleta,Colorado
29219,Warren,Missouri
39143,Sandusky,Ohio
51035,Carroll,Virginia
22059,LaSalle,Louisiana
12119,Sumter,Florida
26077,Kalamazoo,Michigan
19179,Wapello,Iowa
13109,Evans,Georgia
17121,Marion,Illinois
13253,Seminole,Georgia
46039,Deuel,South Dakota
37163,Sampson,North Carolina
51071,Giles,Virginia
29101,Johnson,Missouri
17039,De Witt,Illinois
31077,Greeley,Nebraska
8049,Grand,Colorado
17165,Saline,Illinois
26149,St. Joseph,Michigan
6033,Lake,California
17005,Bond,Illinois
28073,Lamar,Mississippi
21097,Harrison,Kentucky
19145,Page,Iowa
22121,West Baton Rouge,Louisiana
29007,Audrain,Missouri
29029,Camden,Missouri
1021,Chilton,Alabama
40129,Roger Mills,Oklahoma
31103,Keya Paha,Nebraska
54051,Marshall,West Virginia
21171,Monroe,Kentucky
28051,Holmes,Mississippi
31035,Clay,Nebraska
30021,Dawson,Montana
12131,Walton,Florida
12129,Wakulla,Florida
1113,Russell,Alabama
31003,Antelope,Nebraska
