CountyFIPS,ARTHRITIS,CASTHMA,BPHIGH,CANCER,HIGHCHOL,KIDNEY,COPD,CHD,DEPRESSION,DIABETES,OBESITY,TEETHLOST,STROKE
40065,23.0,9.7,34.1,6.1,31.3,3.1,7.1,6.3,21.2,11.8,36.3,18.8,3.3
17101,25.6,9.5,33.3,6.5,29.3,2.9,8.0,6.4,21.2,10.7,38.8,17.2,3.4
20009,23.7,9.7,32.9,6.4,30.4,2.9,6.7,5.8,19.0,11.0,37.0,17.2,3.1
2020,20.0,9.2,29.8,6.0,27.8,2.5,5.0,4.8,17.0,8.3,30.7,12.2,2.7
40137,25.7,10.5,36.0,6.6,30.0,3.0,8.4,6.8,23.9,10.5,36.5,20.6,3.5
54059,37.6,12.2,43.0,6.8,34.2,3.5,12.7,9.3,32.1,14.1,47.4,30.4,4.3
27017,21.6,9.3,28.1,6.6,24.7,2.6,5.6,5.5,22.4,8.5,31.0,11.9,2.9
31023,20.4,7.9,27.1,6.5,25.9,2.3,5.2,5.2,14.7,8.2,36.9,13.3,2.6
21087,33.0,10.8,39.3,6.9,33.2,3.2,11.4,8.1,27.7,12.5,38.0,27.2,4.1
51005,27.3,10.5,34.1,6.7,29.5,2.9,8.7,6.4,22.3,10.8,36.4,17.2,3.5
48215,18.5,7.9,35.2,4.9,30.9,4.2,6.2,6.9,17.8,18.1,48.1,17.6,3.7
29209,26.4,10.2,29.9,6.8,30.7,2.8,8.5,6.6,24.6,9.7,37.2,19.1,3.4
29037,24.6,10.1,26.5,6.7,28.2,2.5,7.0,5.5,22.9,8.5,35.8,15.0,2.9
47049,29.7,10.7,38.1,6.8,32.8,3.2,11.3,7.6,29.2,12.5,38.6,25.9,3.9
19041,22.9,8.5,29.1,6.6,28.6,2.5,5.8,5.5,16.8,8.8,35.7,12.4,2.9
36103,19.2,8.7,25.6,6.3,26.5,2.4,5.3,4.6,15.2,8.3,26.5,12.8,2.4
27047,20.1,9.0,27.3,6.3,26.4,2.7,5.8,5.7,21.4,9.2,34.6,13.4,3.0
31129,22.5,8.5,30.0,6.6,27.4,2.6,6.2,6.0,16.4,9.4,37.4,16.4,3.0
39103,25.3,9.5,28.9,6.8,27.0,2.3,6.7,5.3,21.8,8.9,33.4,11.3,2.6
28021,29.8,12.1,52.0,5.7,32.7,4.8,9.3,8.1,19.1,19.6,50.1,32.4,6.3
17069,26.2,9.9,31.9,6.7,29.3,2.8,8.3,6.5,24.0,10.2,36.4,17.9,3.4
48179,22.7,8.7,34.7,6.1,32.4,3.3,7.7,6.8,20.4,13.2,37.6,19.3,3.7
21063,33.9,10.8,43.7,6.8,34.6,3.7,13.4,9.6,27.3,14.3,40.8,31.5,4.7
28137,27.6,10.1,40.9,6.3,34.7,3.1,7.8,6.5,23.2,12.2,40.8,20.4,3.9
12091,23.9,8.6,31.3,6.5,27.6,2.7,7.2,5.4,18.6,9.5,27.7,13.3,3.1
48443,20.0,7.9,32.8,5.4,31.3,3.4,5.6,5.9,18.5,14.2,39.1,17.0,3.2
27111,21.0,9.2,27.1,6.5,27.7,2.5,5.2,5.5,21.1,8.1,35.4,10.8,2.8
5055,27.0,9.9,36.5,6.6,31.8,2.9,8.8,6.9,26.7,10.4,34.2,21.0,3.5
51145,23.9,9.3,31.1,6.6,28.1,2.4,6.1,5.0,20.0,8.6,31.9,11.3,2.7
35053,22.7,9.4,29.8,5.4,26.5,3.7,6.1,6.2,17.4,13.1,32.7,21.2,3.4
23027,25.1,11.5,28.9,6.5,26.8,2.6,8.0,6.0,23.7,7.9,30.3,17.5,3.0
22111,25.4,9.7,37.5,6.4,32.7,3.2,8.0,6.8,24.7,11.6,38.2,20.6,3.8
42103,24.2,9.7,28.0,6.4,28.2,2.6,5.9,5.2,20.0,9.2,34.8,13.6,2.8
42125,26.9,10.2,29.8,6.7,27.4,2.4,6.4,5.2,21.4,8.1,34.8,14.2,2.8
55013,26.3,9.9,28.8,6.7,28.4,2.7,6.0,5.7,21.3,8.5,36.1,13.8,3.0
18127,22.0,9.2,31.2,6.5,27.4,2.6,6.7,5.6,21.3,10.4,36.3,14.5,2.8
45051,24.8,10.1,34.9,6.5,30.2,2.8,7.5,6.2,21.8,10.6,31.8,15.5,3.3
4011,19.9,9.0,29.0,5.5,29.2,3.1,5.3,5.3,16.6,11.5,35.8,13.8,2.8
45041,26.3,10.3,39.4,6.4,29.8,3.2,7.5,6.3,19.6,12.7,35.5,17.7,4.0
54033,31.1,10.7,35.2,6.8,30.7,2.8,8.9,7.2,28.8,11.5,35.8,20.5,3.3
39133,26.8,10.1,31.1,6.8,28.4,2.6,7.8,6.0,22.5,10.1,37.2,14.8,3.1
40001,28.4,12.4,41.5,6.7,33.7,4.1,12.0,9.6,25.8,15.2,44.2,31.9,5.3
28107,27.6,11.1,44.5,6.1,33.0,3.6,8.5,7.0,21.1,14.7,44.1,24.3,4.7
38083,25.5,9.2,31.0,6.8,27.5,2.7,6.6,6.1,18.1,9.1,36.9,16.4,3.1
30071,26.8,10.3,27.7,6.8,25.0,2.7,6.9,6.0,23.6,8.2,31.6,17.7,3.2
49003,26.7,10.0,27.7,6.3,27.7,2.6,5.2,5.3,21.7,9.2,34.2,13.8,2.8
39059,28.2,11.0,32.9,6.8,28.1,3.0,10.3,7.1,24.2,11.7,37.6,21.6,3.6
33007,27.3,10.7,27.4,6.5,27.0,2.6,7.4,5.9,22.2,8.8,34.0,18.7,3.1
38011,23.2,8.7,28.8,6.7,26.9,2.4,5.5,5.3,16.7,8.0,36.0,12.0,2.7
42039,27.1,10.7,30.4,6.6,27.8,2.7,7.7,6.0,23.7,9.1,33.0,17.5,3.2
13187,25.2,9.2,32.7,6.7,30.4,2.9,8.0,6.5,22.7,10.4,32.4,17.3,3.3
29153,28.9,11.2,33.5,6.7,31.2,3.4,11.4,8.3,26.6,11.8,39.6,25.5,4.3
21225,31.8,10.3,40.0,6.9,31.7,3.1,10.3,7.5,26.1,12.4,36.8,25.3,3.9
12057,20.9,8.1,30.2,5.9,28.1,3.0,6.4,5.5,18.5,11.4,30.3,14.3,3.1
31151,21.1,8.4,28.4,6.1,27.2,2.9,6.3,6.4,14.7,11.6,40.0,19.0,3.2
46102,30.1,13.8,37.5,6.8,26.4,5.7,12.5,11.7,19.0,19.9,45.1,42.9,7.6
51115,25.2,9.5,31.2,6.6,29.1,2.6,6.8,5.5,21.2,9.5,32.3,12.5,3.0
26013,28.8,11.1,33.4,6.8,30.6,3.1,8.9,6.8,23.3,11.2,40.5,16.2,3.7
19115,21.5,8.3,28.9,6.2,27.0,2.6,5.8,5.6,14.9,10.3,33.9,15.7,3.0
20043,23.9,9.9,32.4,6.6,30.3,2.7,6.8,5.8,20.6,10.0,38.5,16.2,3.1
51580,26.5,10.3,34.8,6.6,30.4,2.9,8.3,6.1,22.1,11.0,34.5,17.1,3.5
12029,26.5,9.8,35.5,6.6,30.3,3.4,11.5,7.6,21.6,12.3,36.3,25.8,4.3
17067,25.4,9.4,30.2,6.7,28.2,2.6,7.1,5.8,23.0,9.2,35.8,13.8,3.0
21077,30.8,10.1,37.9,6.8,33.3,3.0,10.1,7.4,26.7,11.8,37.6,24.6,3.7
8011,23.5,9.3,31.8,5.7,27.8,3.6,7.3,7.1,16.2,12.4,33.5,18.8,3.9
47071,30.1,10.5,37.6,6.7,31.9,3.1,10.4,7.1,29.4,12.6,40.0,22.4,3.8
37019,24.6,9.1,30.2,6.7,30.6,2.6,6.5,5.6,24.1,9.5,32.3,14.2,3.0
20011,25.2,10.4,32.2,6.7,30.2,3.0,7.6,6.4,20.7,11.0,39.7,17.8,3.4
36025,25.1,10.5,28.3,6.7,29.1,2.7,7.7,5.9,21.2,9.0,32.4,18.4,3.0
27003,20.5,8.4,28.2,6.6,27.6,2.4,4.6,4.7,21.8,8.5,35.0,8.8,2.6
49021,26.0,10.1,28.2,6.4,28.2,3.0,6.0,5.9,23.1,9.9,32.9,16.2,3.1
48145,24.3,9.8,37.3,6.0,31.7,3.6,8.4,7.1,21.4,14.6,41.2,22.3,4.2
13267,26.3,9.6,39.3,6.2,31.1,3.7,9.3,7.7,19.9,14.6,37.5,24.0,4.4
36045,23.9,10.1,31.8,6.8,28.9,2.7,7.8,6.0,21.1,9.7,33.5,17.3,3.1
47143,27.8,10.3,36.3,6.7,31.7,3.1,10.3,7.1,28.5,12.0,36.5,23.3,3.7
46137,27.6,11.9,35.3,6.7,27.4,4.9,10.6,10.2,18.1,16.7,44.9,33.5,6.3
47105,26.5,9.2,33.8,6.6,31.6,2.7,7.9,6.0,26.5,10.7,36.7,16.6,3.0
21181,34.2,11.1,41.4,6.9,33.9,3.5,12.8,8.9,28.8,13.7,41.1,28.9,4.5
20149,22.2,9.1,30.6,6.7,29.4,2.4,5.5,5.0,19.1,8.7,36.3,12.2,2.6
37185,27.6,10.9,39.9,6.2,30.4,3.8,8.8,7.3,22.0,14.8,41.7,23.9,4.8
13165,28.2,10.6,42.5,6.2,31.1,4.3,10.9,8.6,21.0,16.7,42.9,26.9,5.3
48073,23.5,9.1,35.3,6.2,32.6,3.4,7.9,6.8,21.9,13.4,37.3,19.9,3.9
6097,19.5,9.1,24.9,6.1,25.5,2.6,4.7,4.6,17.0,8.2,27.1,10.9,2.6
48043,19.1,7.7,30.7,5.7,30.5,3.0,5.1,5.4,18.0,12.1,35.5,13.2,2.8
20107,24.5,10.0,32.2,6.7,29.9,2.8,7.4,6.2,20.4,10.3,37.9,19.1,3.3
1001,29.8,9.7,38.2,6.5,32.1,2.8,7.5,6.1,25.3,11.2,35.3,16.3,3.5
23005,22.1,10.7,26.7,6.8,25.7,2.3,6.0,5.1,22.1,6.8,25.3,11.2,2.5
45031,27.5,10.9,39.6,6.3,32.0,3.4,8.2,6.7,20.9,13.4,38.2,20.5,4.3
18161,24.2,10.2,31.9,6.7,29.5,2.7,8.4,6.2,23.9,10.3,35.3,19.0,3.2
16009,25.9,10.5,29.6,6.6,26.8,3.0,7.3,6.6,23.8,10.2,30.0,18.5,3.5
17143,24.3,9.6,31.6,6.5,29.7,2.8,6.5,5.6,21.2,10.4,39.3,13.8,3.1
35043,21.1,8.7,25.8,5.7,26.1,2.9,4.6,4.8,16.5,9.8,30.6,14.0,2.7
26129,30.3,11.4,33.1,6.9,31.1,3.1,9.7,7.0,25.9,10.7,37.1,17.2,3.6
37133,25.8,8.9,33.0,6.4,30.9,3.0,7.1,6.1,22.8,11.0,35.2,17.3,3.4
37121,25.6,9.4,30.6,6.7,30.6,2.8,7.9,6.4,24.9,10.0,34.4,18.3,3.3
2198,25.7,10.9,34.4,6.5,28.0,3.4,7.9,7.2,19.4,11.3,37.0,20.9,4.2
29133,28.3,11.3,36.8,6.4,30.3,3.7,11.2,8.4,24.1,13.5,41.9,29.7,4.8
42073,26.6,10.6,30.2,6.8,27.0,2.7,7.4,5.8,23.2,9.1,34.5,16.8,3.2
29143,28.1,11.3,34.7,6.6,32.5,3.3,10.5,7.6,26.1,12.0,40.5,26.8,4.2
21235,32.6,10.6,40.9,7.0,33.0,3.2,11.1,8.0,28.3,12.6,36.7,25.0,4.0
31065,24.1,8.8,31.4,6.6,28.4,2.7,6.5,6.2,17.7,9.8,39.2,15.6,3.1
13191,25.7,9.9,37.1,6.4,30.3,3.3,7.9,6.5,21.1,12.5,36.5,19.7,3.9
12067,25.4,9.2,35.8,6.5,29.0,3.3,10.3,7.5,21.2,12.3,36.9,23.8,4.1
42013,27.6,10.8,30.9,6.8,28.8,2.7,7.4,5.9,22.8,9.2,36.3,16.6,3.1
46005,22.5,8.4,28.7,6.3,26.8,2.8,5.9,5.8,15.0,9.5,33.0,16.6,3.1
36055,23.2,10.2,28.1,6.2,27.0,2.6,6.3,5.2,20.9,9.4,31.8,13.9,2.8
24017,24.6,9.8,36.7,6.4,30.3,2.8,5.6,4.8,15.8,11.8,43.6,11.2,3.2
39069,26.0,9.6,30.9,6.6,27.2,2.6,7.6,5.9,21.1,10.2,36.4,15.4,2.9
32007,20.8,9.0,27.5,6.0,27.1,2.8,6.5,5.6,17.8,9.3,35.1,16.3,2.9
13045,25.3,9.7,34.4,6.5,30.0,3.1,7.9,6.5,21.2,11.8,34.0,18.5,3.6
20179,22.9,9.3,31.0,6.6,29.4,2.5,5.9,5.3,19.9,9.1,37.2,14.6,2.8
5119,24.9,9.8,37.3,6.3,31.4,3.1,7.0,6.1,24.4,11.5,34.9,16.1,3.6
24039,28.8,10.8,42.3,6.5,32.9,3.6,8.9,7.3,19.1,13.7,44.3,19.2,4.4
13277,26.5,9.9,37.5,6.2,30.5,3.5,8.4,7.1,20.2,13.7,36.5,21.6,4.1
22091,26.3,10.5,40.1,6.2,31.9,3.6,8.2,6.9,23.7,13.3,41.2,25.4,4.4
42131,26.2,10.4,29.2,6.7,26.8,2.5,6.9,5.6,22.4,8.7,35.4,16.0,3.0
47169,26.7,9.5,36.5,6.5,31.3,2.9,8.7,6.4,25.7,11.7,36.6,21.5,3.5
16063,23.7,9.8,30.4,6.0,27.2,3.2,6.7,6.7,21.0,12.2,35.4,19.1,3.5
53047,24.1,10.7,30.2,6.4,26.2,3.2,7.2,6.5,25.1,11.0,30.6,18.5,3.7
18131,24.7,10.0,33.1,6.6,29.5,2.8,8.7,6.5,23.7,10.9,38.1,20.4,3.3
55051,26.0,10.0,29.0,6.7,28.8,2.7,6.2,5.8,21.4,8.3,34.9,13.6,3.0
37069,25.5,9.5,33.7,6.4,30.7,3.0,7.1,6.1,22.2,11.5,35.7,18.6,3.6
21025,35.4,11.4,41.0,7.0,34.4,3.7,13.5,9.2,29.6,14.3,42.4,32.3,4.6
41005,22.5,9.5,28.4,6.5,26.5,2.4,4.6,4.7,24.5,7.5,28.4,11.8,2.6
39149,25.8,10.0,30.4,6.8,26.7,2.6,8.2,6.1,22.8,9.9,34.0,17.0,3.1
51730,27.2,11.9,42.2,5.7,28.7,4.1,8.3,6.7,17.5,16.7,44.6,22.7,5.2
29229,29.6,11.3,32.7,6.7,30.9,3.3,11.4,8.1,27.1,11.7,37.6,27.4,4.2
28011,28.9,11.8,47.7,5.9,33.2,4.2,9.0,7.6,20.8,17.3,46.1,26.2,5.6
5009,27.9,10.0,34.6,6.8,32.5,2.9,8.8,6.8,26.6,10.0,32.4,21.2,3.4
39123,25.4,9.8,29.5,6.7,27.6,2.6,7.9,6.1,22.8,9.7,34.7,14.2,3.0
17177,25.7,9.7,31.2,6.5,29.2,2.8,7.1,5.9,22.3,10.1,37.3,14.3,3.2
18067,24.1,10.2,34.5,6.6,30.4,2.9,8.1,6.2,22.4,10.9,36.9,18.7,3.3
26119,28.9,11.1,32.5,6.8,30.7,3.0,9.2,6.7,25.2,10.2,38.2,16.0,3.4
36109,22.8,9.8,26.2,6.7,27.6,2.5,6.2,5.3,18.8,8.5,27.1,13.4,2.7
6063,21.2,9.5,27.0,6.6,27.5,2.6,5.7,5.1,19.5,8.3,28.9,11.3,2.8
8063,22.0,9.6,26.3,6.4,26.7,2.7,5.8,5.2,18.3,8.1,27.8,14.9,2.9
41047,23.8,10.6,29.3,6.3,24.9,3.0,5.9,5.8,25.3,10.2,36.9,16.7,3.1
48199,22.9,9.1,33.9,6.6,31.7,2.7,7.3,5.8,23.3,10.3,35.6,15.6,3.2
21151,30.0,10.0,36.2,6.9,33.0,2.9,8.8,6.8,26.3,11.3,38.6,18.7,3.4
50005,23.8,9.9,27.8,6.5,24.2,2.5,6.8,5.5,21.2,8.0,28.7,16.9,3.0
29079,26.8,10.3,29.6,6.7,30.4,2.8,8.8,6.6,24.7,9.9,37.2,18.6,3.4
48243,20.3,8.0,31.4,5.8,31.1,2.9,5.8,5.7,19.2,12.0,35.9,13.0,3.0
47135,30.7,10.8,39.5,6.7,33.4,3.3,11.7,7.9,29.5,13.2,38.6,26.8,4.1
46041,26.6,11.6,35.6,6.9,26.4,4.4,9.4,9.1,17.9,16.0,44.4,29.6,5.6
46069,21.4,8.5,27.2,6.7,25.7,2.4,5.0,5.1,16.5,7.8,32.0,14.2,2.7
51185,27.8,10.4,34.2,6.7,30.0,2.9,9.1,6.5,23.9,10.5,35.8,17.1,3.5
39039,25.7,9.9,31.9,6.6,27.6,2.7,7.9,5.9,22.0,10.6,39.0,14.7,3.0
28085,26.6,10.1,40.0,6.2,31.7,3.2,7.7,6.5,21.6,12.0,38.2,18.9,4.0
48507,22.0,8.7,37.7,4.8,32.9,4.8,7.4,8.1,19.0,20.7,46.0,22.7,4.3
35025,22.7,9.2,32.8,5.4,27.9,3.3,5.7,5.8,17.1,12.5,36.3,18.1,3.1
48273,20.1,8.1,33.4,5.1,32.0,3.7,5.6,6.2,18.1,15.9,40.9,15.1,3.3
30041,27.2,10.7,28.9,6.8,25.9,3.0,7.2,6.6,24.4,8.9,33.1,17.1,3.5
21003,31.4,10.3,39.3,6.9,32.5,3.1,10.3,7.5,26.9,11.9,38.0,25.0,3.8
48009,22.6,8.7,31.7,6.6,31.3,2.6,6.8,5.6,22.3,9.7,34.3,13.5,3.0
54097,34.4,11.1,36.2,6.8,31.6,3.1,10.3,8.0,28.4,12.2,39.3,24.9,3.7
53001,22.7,10.1,30.0,5.8,29.2,3.7,6.8,6.9,22.2,14.7,38.9,21.2,3.8
48135,19.6,8.0,31.8,5.4,30.7,3.2,5.6,5.7,18.5,13.7,38.0,15.9,3.1
28001,27.6,10.2,43.6,5.8,31.3,4.0,8.3,7.6,19.2,16.3,42.9,28.0,5.0
28043,26.6,10.5,41.1,6.2,32.6,3.3,7.8,6.5,22.3,13.1,41.7,22.0,4.3
9001,18.2,8.2,25.6,6.1,27.6,2.4,4.1,4.1,13.5,7.9,24.4,8.2,2.3
51790,25.2,9.8,31.7,6.6,28.5,2.6,6.8,5.3,21.7,9.6,32.9,13.0,3.0
29173,26.2,10.1,29.1,6.7,29.2,2.7,8.4,6.4,24.7,9.3,36.4,18.3,3.3
37099,26.2,9.5,31.9,6.8,31.4,3.0,7.7,6.5,25.0,10.4,35.1,17.5,3.4
42009,27.1,10.6,30.1,6.7,28.5,2.7,7.8,6.0,23.1,9.1,34.1,17.9,3.2
55101,24.3,9.9,29.9,6.3,29.9,2.7,5.3,5.3,19.3,8.7,36.9,12.8,2.9
18089,24.1,9.6,32.2,5.9,27.2,3.1,7.1,6.0,18.0,12.8,38.1,17.7,3.4
21161,31.4,10.1,38.9,6.8,30.9,3.0,9.5,7.2,25.4,11.8,40.5,22.9,3.7
48297,21.3,8.2,33.9,5.7,31.6,3.3,6.8,6.5,19.3,13.7,40.8,17.5,3.5
29123,27.1,10.3,30.4,6.8,30.3,2.8,8.9,6.8,25.1,9.8,36.5,20.9,3.5
48307,22.1,8.6,33.5,6.0,31.6,3.2,7.1,6.3,20.7,13.0,38.3,17.0,3.4
38049,23.9,8.4,29.7,6.7,27.6,2.4,5.5,5.3,17.8,8.0,35.4,13.1,2.7
1011,31.6,10.8,48.2,5.8,32.3,4.1,9.2,7.8,21.1,17.8,43.8,28.5,5.5
31149,21.4,8.1,27.7,6.7,27.1,2.2,5.1,5.1,15.6,7.9,35.2,13.5,2.5
55121,24.3,9.4,28.2,6.6,28.5,2.5,5.5,5.2,20.1,7.9,36.0,12.8,2.8
19169,23.1,7.9,28.5,6.5,27.9,2.6,5.2,5.4,15.4,9.0,32.5,10.2,2.8
54041,34.1,11.1,38.1,6.8,32.2,3.1,10.4,8.1,29.6,12.4,41.0,24.4,3.7
24027,18.2,7.7,28.7,6.2,29.8,2.3,3.8,3.9,14.5,8.3,25.5,6.4,2.3
13127,24.3,9.5,33.6,6.5,30.4,3.1,7.2,6.1,20.0,11.4,32.2,16.7,3.5
5019,27.0,10.2,37.4,6.5,33.6,3.2,7.9,6.6,25.0,11.8,40.1,18.2,3.7
39113,26.6,11.0,33.7,6.6,28.2,3.0,8.5,6.2,22.0,11.9,36.5,16.6,3.6
42077,23.7,9.5,29.3,6.1,28.5,2.8,5.8,5.3,19.5,10.2,37.4,14.5,2.9
8007,20.9,9.3,24.1,6.3,26.3,2.5,4.8,4.6,17.3,7.5,24.9,10.9,2.5
29219,26.4,10.1,28.8,6.8,29.4,2.7,8.2,6.4,24.6,9.5,35.7,18.7,3.3
39143,26.6,9.7,31.1,6.4,26.4,2.8,8.1,6.2,21.3,11.1,38.3,15.9,3.2
51035,26.6,10.0,32.9,6.7,29.7,2.8,8.6,6.3,23.3,10.3,33.9,16.6,3.3
22059,26.7,9.7,37.1,6.6,33.0,3.2,9.1,7.3,26.5,11.6,36.8,23.2,3.9
12119,23.2,7.9,30.4,6.4,27.4,2.6,6.7,5.5,18.3,9.5,29.5,12.6,2.9
26077,26.5,10.8,31.2,6.6,30.6,2.8,6.8,5.6,23.8,9.7,36.5,11.2,3.0
19179,23.5,8.8,29.7,6.4,28.9,2.8,6.5,6.1,17.0,10.8,38.2,16.1,3.2
13109,27.4,10.4,39.3,6.2,31.3,3.8,9.7,7.9,21.6,14.9,38.7,25.0,4.6
