CountyFIPS,BINGE,CSMOKING,LPA,SLEEP
40065,13.6,17.4,38.5,37.7
17101,21.5,21.7,30.3,36.8
20009,17.1,18.7,32.1,34.2
2020,18.2,15.3,20.5,34.4
40137,13.5,21.8,39.1,37.3
54059,13.1,29.5,38.1,48.7
27017,24.5,20.4,22.0,31.7
31023,24.0,17.0,27.0,32.6
21087,14.5,28.4,35.6,42.0
51005,17.2,22.8,31.3,39.8
48215,14.2,15.6,36.6,35.4
29209,17.8,24.3,32.5,34.7
29037,18.2,19.8,29.6,34.2
47049,14.2,27.0,36.1,42.1
19041,21.7,18.2,27.0,33.8
36103,19.7,13.7,26.6,38.2
27047,22.5,19.2,26.7,33.2
31129,21.4,18.3,30.8,31.3
39103,19.8,18.3,24.9,37.5
28021,10.6,23.8,48.3,45.3
17069,21.4,22.9,30.1,36.0
48179,18.0,20.2,34.3,37.6
21063,14.2,32.2,41.6,43.9
28137,14.2,20.9,39.3,38.9
12091,19.4,18.0,26.4,39.0
48443,17.5,15.8,33.3,37.0
27111,24.2,16.7,22.1,29.0
5055,15.9,23.8,33.5,34.0
51145,18.8,16.9,25.0,36.2
35053,15.6,18.7,30.5,34.8
23027,18.1,20.4,29.6,32.5
22111,19.7,23.2,33.9,39.2
42103,19.7,18.3,26.7,40.0
42125,20.8,19.2,26.2,39.0
55013,24.1,19.1,24.3,33.0
18127,18.5,18.0,29.6,34.5
45051,19.8,22.9,29.1,34.4
4011,17.6,15.2,26.7,35.2
45041,16.4,20.4,33.5,41.0
54033,14.2,23.6,31.6,42.0
39133,19.0,21.7,28.0,40.0
40001,12.1,29.9,43.6,43.1
28107,13.8,22.7,39.1,39.5
38083,22.9,21.0,32.8,34.3
30071,24.5,21.2,26.4,35.6
49003,10.4,10.9,21.9,36.6
39059,19.0,26.2,32.2,42.0
33007,17.7,21.4,27.0,39.0
38011,23.2,17.8,28.4,32.3
42039,18.8,23.9,29.2,40.3
13187,17.6,20.8,30.5,36.1
29153,15.8,29.9,40.6,37.4
21225,14.5,26.6,37.1,43.9
12057,17.9,16.1,26.9,37.6
31151,20.8,17.1,33.2,31.0
46102,16.6,38.1,39.8,36.4
51115,17.7,17.9,26.2,36.6
26013,20.3,24.3,28.7,41.5
19115,21.4,18.5,32.3,34.1
20043,18.1,20.1,31.0,35.9
51580,16.7,22.0,31.0,39.3
12029,19.2,27.8,34.9,40.0
17067,22.3,19.7,27.1,35.4
21077,15.3,26.0,35.1,44.5
8011,15.9,21.4,30.3,35.0
47071,14.5,26.9,35.6,41.1
37019,17.1,18.7,24.7,34.9
20011,17.0,20.3,31.3,36.6
36025,20.7,20.5,30.3,39.5
27003,21.3,16.6,21.0,31.5
49021,9.7,11.1,20.4,33.8
