CountyFIPS,MHLTH,PHLTH,GHLTH
40065,15.0,13.8,22.6
17101,15.8,13.9,20.9
20009,15.4,12.5,20.0
2020,12.4,10.1,15.3
40137,16.7,14.6,22.2
54059,24.1,21.2,31.7
27017,13.5,11.3,15.2
31023,11.9,9.9,13.5
21087,19.6,17.9,26.7
51005,17.4,14.5,21.5
48215,14.8,16.7,34.3
29209,17.2,14.5,20.5
29037,15.2,12.4,17.7
47049,20.7,18.2,26.8
19041,13.3,10.5,14.5
36103,12.3,10.6,15.3
27047,13.8,11.7,17.6
31129,13.4,11.5,16.4
39103,15.3,11.3,15.1
28021,19.6,18.2,33.3
17069,17.1,14.3,20.7
48179,15.8,15.1,26.3
21063,21.2,20.5,31.1
28137,17.6,14.1,23.6
12091,15.6,13.0,17.9
48443,13.9,13.8,25.5
27111,12.8,10.2,14.4
5055,19.1,16.1,23.1
51145,13.9,10.8,15.7
35053,16.4,15.8,25.6
23027,15.8,13.4,17.2
22111,18.5,14.9,23.7
42103,14.4,12.0,17.7
42125,15.1,12.1,16.8
55013,14.8,11.9,15.7
18127,14.2,12.0,17.3
45051,15.4,14.1,20.1
4011,14.0,13.0,21.1
45041,15.7,14.3,21.4
54033,19.8,16.0,22.9
39133,16.9,12.9,17.8
40001,21.1,20.4,31.8
28107,18.3,15.5,26.8
38083,13.2,11.7,17.8
30071,16.0,13.6,17.7
49003,14.3,12.1,16.3
39059,19.3,15.5,22.2
33007,16.7,13.4,17.8
38011,11.6,10.2,15.2
42039,17.1,14.1,19.9
13187,17.8,14.6,19.9
29153,20.2,18.5,26.9
21225,18.5,16.7,25.0
12057,14.8,13.3,20.7
31151,13.1,12.5,20.2
46102,20.0,22.8,35.3
51115,15.0,12.0,17.2
26013,18.2,15.2,21.1
19115,13.0,11.1,17.5
20043,15.7,12.2,18.4
51580,16.9,14.0,21.1
12029,19.9,18.0,26.7
17067,15.7,12.6,17.2
21077,18.4,16.4,24.5
8011,15.2,16.0,26.1
47071,19.9,17.6,25.9
37019,14.3,11.5,17.1
20011,16.9,13.4,19.9
36025,15.8,13.1,18.5
27003,12.3,9.3,13.1
49021,15.4,13.3,17.9
48145,17.2,16.3,29.0
13267,18.9,17.6,28.0
36045,15.5,13.0,18.7
47143,19.6,17.0,25.2
46137,18.4,19.7,30.2
47105,16.5,14.1,20.8
21181,21.1,19.7,29.6
20149,13.7,10.2,15.1
37185,17.0,15.6,26.6
13165,20.9,19.8,31.6
48073,16.2,15.2,26.0
6097,12.3,11.0,15.7
48043,12.6,12.0,21.6
20107,16.4,13.0,19.8
1001,17.1,14.2,20.1
23005,13.5,10.5,13.1
45031,16.6,15.1,23.4
18161,16.7,13.9,20.0
16009,17.1,15.4,19.8
17143,14.6,12.4,17.9
35043,13.6,11.9,18.0
26129,19.5,16.0,21.5
37133,14.8,12.8,20.1
37121,15.8,13.2,19.8
2198,16.7,15.1,23.2
29133,19.7,18.7,29.5
42073,16.7,13.6,19.2
29143,19.4,17.2,26.5
21235,19.4,17.6,25.7
31065,13.8,11.8,17.5
13191,18.0,15.0,22.2
12067,18.7,17.4,26.9
42013,16.9,14.1,19.8
46005,12.0,11.0,17.5
36055,13.8,11.3,16.6
24017,13.1,10.7,16.9
39069,16.4,12.8,18.7
32007,14.5,12.7,18.9
13045,17.9,15.1,22.0
20179,14.3,10.9,16.0
5119,16.6,14.1,21.7
24039,17.3,15.6,24.9
13277,18.3,16.4,25.3
22091,18.9,15.6,25.8
42131,16.1,13.0,17.9
47169,17.5,15.0,22.4
16063,15.6,15.9,24.0
53047,15.9,15.3,22.5
18131,16.9,14.5,21.3
55051,15.1,12.1,15.7
37069,14.9,12.8,20.6
21025,21.6,20.7,30.6
41005,13.7,10.4,15.1
39149,17.4,13.4,18.8
51730,17.0,15.8,27.3
29229,20.3,18.6,27.4
28011,19.3,17.4,31.1
5009,19.0,16.2,22.7
39123,16.4,13.0,18.1
17177,15.6,12.9,18.3
18067,16.0,13.7,19.9
26119,19.1,15.0,20.1
36109,13.3,10.9,14.7
6063,14.2,11.8,15.8
8063,14.1,12.1,17.3
41047,15.3,13.6,21.8
48199,15.9,13.0,20.9
21151,16.8,14.8,21.1
50005,14.8,12.4,15.5
29079,17.3,14.9,21.3
48243,13.5,12.6,22.7
47135,21.1,19.2,28.3
46041,17.3,17.7,28.8
46069,11.6,9.4,13.5
51185,17.7,14.9,22.1
39039,16.5,13.2,19.3
28085,17.9,14.4,24.5
48507,16.8,20.0,40.3
35025,15.3,14.8,24.8
48273,14.1,14.9,28.9
30041,16.8,14.4,18.7
21003,18.6,16.9,24.8
48009,15.2,12.3,18.6
54097,21.4,18.0,26.5
53001,15.6,16.9,29.6
48135,13.7,13.5,25.9
28001,18.0,16.6,30.5
28043,17.8,14.4,24.9
9001,11.5,9.3,13.3
51790,15.0,12.0,17.2
29173,16.9,14.2,20.1
37099,15.8,13.3,19.4
42009,17.2,14.1,20.1
55101,13.6,11.3,16.2
18089,15.0,14.1,22.6
21161,17.8,15.5,22.5
48297,15.0,14.7,27.5
29123,17.7,15.1,21.7
48307,15.4,14.5,25.6
38049,11.8,10.1,14.3
1011,18.9,18.0,31.1
31149,12.1,9.5,12.9
55121,13.9,11.2,15.0
19169,12.4,9.8,13.0
54041,21.5,17.9,25.9
24027,10.8,8.3,11.0
13127,16.8,14.1,20.2
5019,18.3,15.5,23.0
39113,17.5,13.9,20.8
42077,14.4,12.8,20.4
8007,12.5,10.5,14.4
29219,16.7,14.2,20.2
39143,17.1,13.9,20.1
51035,17.0,14.2,20.9
22059,19.6,16.2,25.3
12119,14.4,12.2,17.0
26077,16.0,12.4,16.2
19179,14.0,11.9,17.9
13109,20.0,18.3,28.8
17121,16.9,14.0,20.0
13253,18.9,16.3,24.2
46039,11.4,9.5,13.9
37163,16.4,15.3,26.2
51071,16.2,13.0,18.5
29101,15.5,13.2,18.4
17039,15.5,12.5,17.6
31077,12.8,10.2,14.2
8049,12.9,10.4,13.6
17165,17.3,14.8,20.8
26149,17.9,14.6,20.2
6033,15.6,14.5,21.8
17005,15.2,12.8,18.3
28073,15.9,12.4,19.4
21097,18.6,16.5,24.2
19145,13.3,10.6,15.5
22121,17.0,13.1,21.0
29007,18.0,15.4,22.4
29029,16.5,13.9,19.3
1021,19.0,16.6,25.1
40129,16.7,14.3,21.4
31103,13.1,11.0,15.4
54051,20.0,16.4,23.0
21171,19.7,18.1,27.1
28051,21.2,20.1,37.1
31035,12.7,10.8,15.7
30021,14.6,11.7,14.6
12131,17.0,14.2,20.3
12129,17.0,14.4,20.3
1113,18.7,16.0,25.3
31003,12.8,10.7,15.2
56003,14.1,12.1,17.6
55005,14.8,11.9,15.9
22049,19.7,16.3,25.8
48169,14.6,15.6,30.6
48327,14.7,14.0,25.6
32019,15.7,13.9,20.2
26159,17.6,14.4,20.0
13297,17.2,13.9,20.0
54025,20.6,17.1,24.6
38091,10.9,9.0,12.6
56033,12.9,10.4,14.2
15009,12.8,10.8,15.9
5063,18.7,16.5,23.8
48435,13.2,13.1,25.8
51540,14.6,12.4,18.3
54105,22.6,19.0,27.8
31163,13.2,10.8,15.3
36079,12.1,9.8,14.2
13231,17.2,13.1,18.1
40107,19.8,18.6,29.1
22103,15.8,11.9,17.7
38019,11.9,10.3,14.6
19017,12.3,9.3,12.3
45001,17.0,15.5,23.4
18037,14.9,12.5,18.2
47041,19.0,17.0,25.9
51680,15.7,13.4,20.8
26089,14.3,10.7,13.3
40021,18.6,16.9,25.7
47013,20.9,18.6,27.2
36089,16.0,13.8,19.2
48379,16.1,13.5,21.4
13173,19.3,16.8,24.9
26005,16.5,12.7,17.6
19051,14.5,11.5,16.8
27027,12.8,10.2,14.1
47097,20.6,19.3,30.7
48209,12.7,11.6,20.1
40075,17.6,16.0,25.4
26059,18.7,14.9,19.7
18003,15.1,13.1,19.4
37059,14.9,12.2,18.5
37197,16.4,14.1,22.0
47063,19.1,17.4,26.5
32031,13.8,12.2,17.4
27057,13.5,11.1,15.2
56005,13.4,11.5,16.3
18101,16.7,13.9,19.7
20051,14.6,11.2,16.4
30085,20.1,18.5,25.5
48115,16.0,17.2,33.2
51171,15.7,13.0,19.3
20115,14.5,10.8,15.7
21141,18.2,16.2,23.9
37129,14.5,11.6,17.0
51049,16.7,14.2,22.2
12043,18.1,18.0,28.4
38105,11.0,10.0,15.4
13307,18.5,16.0,24.9
27081,13.6,11.1,15.5
5085,17.5,14.5,20.8
40031,15.9,14.3,23.0
29049,15.6,12.6,17.8
25011,14.7,10.9,14.3
20085,15.0,11.6,17.2
45089,17.1,16.5,27.8
28115,17.8,14.6,24.5
17151,16.4,13.7,19.6
48105,13.4,13.2,26.0
19081,12.9,10.3,14.3
5127,20.4,18.5,28.6
21205,20.1,18.4,26.4
13035,19.0,16.6,25.0
24009,13.1,9.9,14.2
31185,12.2,9.8,14.1
55111,13.8,11.1,14.8
20021,16.5,13.1,19.6
5149,19.3,18.3,28.7
36015,15.5,12.9,18.0
41017,14.2,11.3,15.9
45065,15.1,14.4,22.7
21017,17.7,15.9,23.8
48401,15.4,13.8,23.4
53039,14.7,13.1,18.0
39007,19.6,16.5,24.7
47009,17.4,14.4,20.3
37049,14.7,12.8,19.6
47127,17.8,14.8,21.2
26025,17.6,14.2,19.1
22029,20.8,17.9,29.2
48481,15.3,15.0,27.5
48051,14.9,13.2,22.5
1085,20.3,18.8,31.5
53065,15.7,13.8,18.3
41039,15.8,12.8,18.6
27155,13.3,10.8,15.1
29186,16.6,13.7,19.4
18171,15.8,13.0,18.4
28081,16.4,12.7,20.9
18025,18.8,16.6,24.9
38061,12.2,11.5,17.9
19105,13.7,10.9,15.6
13063,17.2,15.7,25.8
1049,20.0,18.1,27.3
20171,14.0,11.3,18.4
19193,12.8,10.9,17.1
55081,14.3,11.6,15.6
21107,18.3,16.4,24.1
8087,13.8,12.9,20.4
30031,12.9,10.2,11.7
38041,13.1,11.4,16.8
37091,16.5,15.2,26.2
30105,15.7,13.1,16.6
30095,14.1,11.3,14.0
37063,12.6,10.9,17.7
51139,17.4,14.4,21.3
27091,13.7,11.3,15.8
30007,14.8,12.0,15.1
27145,13.6,11.2,15.0
8113,11.3,9.0,11.3
39079,20.2,16.5,24.3
56043,13.3,11.5,17.3
31141,11.4,10.0,16.0
28149,16.9,14.0,24.3
12001,15.4,13.7,18.7
40085,16.9,15.4,24.7
16029,15.1,13.3,17.0
27105,13.1,12.4,20.9
47177,19.6,18.0,27.3
46079,11.3,9.4,13.6
39049,15.2,12.7,18.1
51011,16.1,13.1,19.6
29093,19.1,16.7,24.4
37155,19.5,18.8,31.8
50027,13.9,11.0,13.4
13101,18.2,17.2,27.5
35015,14.6,13.3,21.6
40011,16.9,15.1,24.2
1075,20.1,17.3,24.9
37029,15.3,12.3,18.6
29071,16.0,13.0,18.3
26069,18.5,14.8,20.0
31099,12.0,10.0,14.2
48017,13.2,12.9,25.1
46089,12.9,11.0,16.4
25023,13.9,10.4,13.6
30051,18.2,15.8,21.1
28163,17.9,17.0,31.5
1051,17.0,13.8,21.0
26047,16.2,12.3,15.4
51101,15.1,11.9,17.4
36119,11.6,10.1,15.8
17113,13.7,11.0,15.3
53009,15.1,13.1,17.4
8025,14.3,14.9,24.6
48263,13.8,11.8,19.4
13005,20.3,18.0,26.5
30061,17.1,14.6,19.2
1105,21.1,20.0,32.4
21125,19.9,18.1,26.5
28017,18.8,16.3,28.9
18055,17.0,14.6,20.8
26113,18.4,14.5,19.4
1029,19.3,15.9,22.9
31111,12.2,10.3,14.7
48161,16.1,14.6,24.6
45025,17.5,16.3,25.9
51520,17.8,15.3,22.4
54075,21.5,18.0,26.5
16039,15.6,15.0,20.7
28059,16.3,12.7,20.6
48425,15.1,13.3,21.5
50017,14.6,11.5,14.2
37191,16.0,14.2,23.6
38099,12.4,11.5,18.3
5147,20.4,18.2,27.9
48351,18.3,16.2,26.1
32029,13.8,11.3,15.0
56025,13.1,11.2,15.8
31013,12.8,10.9,16.8
26135,19.3,15.5,21.1
55137,14.5,12.2,17.1
48289,16.9,15.2,25.1
18045,16.4,13.8,19.9
45047,16.4,14.9,21.8
18177,17.3,15.0,22.0
54109,23.6,19.6,29.3
42051,17.8,14.8,21.6
48465,14.7,16.0,32.3
12105,16.4,15.2,24.0
13239,20.7,18.5,30.0
36087,12.4,11.1,17.0
55029,12.8,9.9,12.9
4027,15.2,15.5,27.2
48371,13.9,14.4,29.0
37035,15.0,12.8,20.1
47147,17.3,14.7,21.7
27033,13.6,11.6,16.7
47033,19.3,17.6,27.2
36065,15.0,12.6,18.1
26067,17.1,13.7,18.8
41019,17.0,14.0,20.5
16073,15.9,16.1,23.8
27019,10.5,8.0,10.6
17049,15.0,12.0,16.4
19099,13.2,10.3,14.5
29057,18.9,16.7,24.2
42061,16.3,13.7,19.8
20059,15.3,11.5,17.3
18011,12.9,10.1,14.1
18109,16.2,13.3,18.5
19027,13.0,10.1,14.3
5029,19.3,16.6,24.5
12051,17.9,19.2,33.9
48319,13.9,12.4,20.7
56013,14.3,12.5,17.2
35059,15.1,14.3,23.4
26165,18.5,14.7,19.5
26097,18.2,14.8,20.1
40109,14.7,13.1,20.8
29187,17.5,15.1,21.9
28109,17.4,13.8,21.8
48079,16.6,17.7,34.2
