CountyFIPS,Density,total_population,RuralUrban,CountyName,Lon,Lat
1001,94.3,56059,Rural,Autauga,-86.64301145,32.5350198
1003,141.8,225463,Rural,Baldwin,-87.72275422,30.72811673
1005,27.8,24575,Rural,Barbour,-85.39330307,31.86925212
1007,36.0,22427,Rural,Bibb,-87.12653219,32.99854412
1009,89.9,57997,Rural,Blount,-86.56784586,33.98070621
1011,16.2,10096,Rural,Bullock,-85.71563262,32.10044482
1013,25.0,19424,Rural,Butler,-86.68030416,31.75259734
1015,187.7,113714,Rural,Calhoun,-85.82579874,33.77170768
1017,55.8,33275,Rural,Chambers,-85.39238495,32.91401536
1019,47.6,26346,Rural,Cherokee,-85.60387093,34.17572884
1021,64.3,44525,Rural,Chilton,-86.71886671,32.84755922
1023,13.8,12574,Rural,Choctaw,-88.26304964,32.020526
1025,19.0,23592,Rural,Clarke,-87.83050953,31.67753092
1027,21.9,13250,Rural,Clay,-85.86076142,33.26916978
1029,26.7,14941,Rural,Cleburne,-85.51894991,33.67451857
1031,77.4,52521,Rural,Coffee,-85.98828821,31.40188396
1033,93.4,55354,Rural,Colbert,-87.80480288,34.70084917
1035,14.2,12050,Rural,Conecuh,-86.99409002,31.42928542
1037,16.4,10687,Rural,Coosa,-86.24787111,32.93634238
1039,36.0,37134,Rural,Covington,-86.45156346,31.24869317
1041,22.7,13798,Rural,Crenshaw,-86.31327649,31.73171737
1043,114.4,84084,Rural,Cullman,-86.8671365,34.13199197
1045,87.5,49102,Rural,Dale,-85.61159073,31.43150889
1047,37.8,36960,Rural,Dallas,-87.1066303,32.32602481
1049,92.2,71651,Rural,DeKalb,-85.8035973,34.4602025
1051,132.0,81661,Rural,Elmore,-86.14875636,32.59685888
1053,38.9,36768,Rural,Escambia,-87.16137773,31.12612281
1055,191.4,102381,Rural,Etowah,-86.03539165,34.04522195
1057,26.0,16311,Rural,Fayette,-87.73921374,33.72121137
1059,49.5,31353,Rural,Franklin,-87.843283,34.44238135
1061,45.8,26333,Rural,Geneva,-85.83932635,31.09487431
1063,12.5,8096,Rural,Greene,-87.95608364,32.8537694
1065,22.7,14647,Rural,Hale,-87.63018079,32.76294506
1067,30.8,17283,Rural,Henry,-85.24183736,31.5149075
1069,183.1,106174,Rural,Houston,-85.30249702,31.15350797
1071,48.0,51745,Rural,Jackson,-85.99947453,34.77967706
1073,592.9,658926,Urban,Jefferson,-86.89673378,33.55458811
1075,22.8,13811,Rural,Lamar,-88.09715315,33.77909349
1077,139.2,92926,Rural,Lauderdale,-87.65453895,34.90142261
1079,47.8,32984,Rural,Lawrence,-87.31069915,34.52187809
1081,272.2,165375,Rural,Lee,-85.35534328,32.60099295
1083,178.3,99825,Rural,Limestone,-86.98204165,34.81026419
1085,13.5,9686,Rural,Lowndes,-86.65008014,32.15495765
1087,29.6,18031,Rural,Macon,-85.69271411,32.38575719
1089,467.8,374983,Rural,Madison,-86.5506924,34.7629041
1091,19.3,18832,Rural,Marengo,-87.78897342,32.24802803
1093,40.1,29782,Rural,Marion,-87.88740512,34.13691691
1095,171.4,96982,Rural,Marshall,-86.30608505,34.36718343
1097,336.2,413330,Rural,Mobile,-88.20658862,30.78657016
1099,20.2,20697,Rural,Monroe,-87.36533405,31.57086205
1101,288.1,225904,Rural,Montgomery,-86.20804808,32.22034164
1103,206.9,119864,Rural,Morgan,-86.85332071,34.4534685
