CountyFIPS,ACCESS,CHECKUP,DENTAL,BPMED,CHOLSCREEN,MAMMOUSE,CERVICAL,COLON_SCREEN,COREM,COREW
40065,24.2,74.1,61.1,57.9,83.8,71.5,83.0,58.7,25.2,23.7
17101,18.9,73.4,57.8,56.8,83.0,68.7,82.2,61.2,24.7,20.6
20009,20.5,72.6,59.3,56.8,82.1,69.0,82.6,58.4,24.4,22.3
2020,13.6,68.8,68.5,48.5,81.2,67.4,84.1,58.4,20.8,25.1
40137,20.5,74.5,58.3,57.7,82.8,69.6,82.3,54.6,25.5,27.2
54059,16.0,77.4,41.1,62.1,82.6,68.0,81.5,60.9,30.1,24.0
27017,11.5,71.0,69.9,55.9,82.3,72.9,85.5,67.1,25.9,24.6
31023,16.5,68.6,63.1,57.0,81.1,71.1,84.4,61.9,24.8,26.6
21087,13.4,79.3,52.4,62.4,87.4,68.0,82.5,61.5,26.1,23.1
51005,14.8,76.4,62.1,59.7,84.1,72.6,84.3,61.1,23.9,26.0
48215,48.0,69.8,48.9,61.1,81.3,69.0,81.3,49.8,12.4,16.3
29209,18.0,73.7,55.4,59.6,81.8,66.7,83.2,63.8,24.2,25.7
29037,16.3,73.7,63.9,58.4,83.8,71.5,85.8,65.8,25.8,28.6
47049,21.2,73.6,48.7,60.7,83.2,68.2,81.3,60.0,20.3,17.5
19041,11.1,74.9,68.4,58.1,83.0,73.0,84.7,66.8,26.5,24.0
36103,13.7,79.3,71.1,56.2,88.3,74.8,89.2,65.9,21.0,16.8
27047,15.5,69.3,67.3,55.2,81.7,75.4,84.4,64.9,23.9,24.2
31129,17.6,68.5,60.2,59.1,80.0,68.9,83.4,58.1,23.6,22.0
39103,10.0,77.0,72.1,57.0,84.7,74.5,87.0,67.0,29.3,27.2
28021,26.2,81.3,36.8,71.2,86.3,66.9,83.7,54.6,19.7,16.4
17069,17.3,72.9,58.4,55.4,82.3,68.2,81.9,60.5,24.2,20.7
48179,33.8,70.8,50.8,58.0,81.5,67.7,80.9,56.1,17.4,17.8
21063,15.0,78.9,48.7,64.0,86.0,68.7,80.6,59.9,23.5,24.8
28137,21.3,76.9,49.9,64.8,84.9,64.2,84.7,59.7,26.4,19.9
12091,21.2,73.7,66.5,55.6,85.6,76.0,85.0,67.4,26.7,26.0
48443,35.0,71.6,50.6,57.6,83.2,68.9,81.3,53.3,16.3,16.4
27111,12.1,71.5,72.2,55.4,83.2,74.6,85.5,71.3,24.3,24.4
5055,15.9,76.7,53.7,60.2,82.0,68.7,83.3,60.5,21.1,19.8
51145,12.2,77.0,70.4,57.6,86.7,75.8,87.4,67.8,29.5,28.1
35053,21.0,66.4,56.7,54.2,79.7,63.7,78.4,52.8,18.6,18.3
23027,15.8,73.8,58.4,50.9,82.4,71.3,87.0,68.8,20.6,22.3
22111,17.3,79.1,52.3,61.0,85.6,73.9,85.1,60.2,18.7,18.6
42103,13.3,77.5,66.2,57.1,85.1,70.9,85.4,68.9,27.5,25.5
42125,10.4,77.4,68.9,56.1,84.7,72.6,85.1,69.3,27.1,27.8
55013,12.2,73.5,67.0,54.8,78.9,72.0,84.3,68.1,20.9,19.8
18127,14.4,76.1,66.3,59.2,84.5,70.0,85.5,63.0,19.4,20.2
45051,19.7,75.4,57.6,57.5,83.5,73.3,84.9,65.1,28.6,24.8
4011,25.2,70.3,58.3,52.3,83.3,65.5,83.5,55.7,18.0,16.7
45041,19.8,80.2,55.6,62.7,84.4,74.0,86.2,64.4,24.2,25.7
54033,12.6,78.5,56.4,60.1,85.1,73.2,84.5,67.7,32.1,26.5
39133,11.2,76.6,67.4,58.7,83.4,75.1,85.8,63.8,26.0,25.6
40001,23.5,74.8,46.6,59.5,80.7,66.1,78.5,48.3,22.1,22.9
28107,23.7,79.2,46.2,68.4,85.0,67.8,84.7,60.0,24.4,20.0
38083,12.7,69.1,59.3,56.7,80.0,69.9,82.3,57.9,22.2,23.4
30071,14.8,68.7,60.2,51.3,79.6,68.0,83.5,57.8,24.0,23.8
49003,16.3,69.0,70.4,48.8,80.1,63.7,81.6,65.5,23.7,21.2
39059,13.7,76.4,57.3,58.5,81.5,71.3,83.1,60.5,26.2,21.9
33007,15.1,73.3,60.4,56.1,82.7,68.4,85.5,61.5,21.0,18.7
38011,12.4,69.0,68.4,56.3,81.5,73.7,84.6,62.5,25.4,27.5
42039,12.2,76.5,60.1,57.4,83.1,69.8,83.4,66.1,25.7,23.8
13187,22.1,74.0,59.9,58.1,84.7,74.0,83.9,61.3,23.0,24.1
29153,21.6,71.7,48.3,61.2,78.7,64.5,80.9,56.7,22.5,22.7
21225,12.6,80.4,52.0,62.6,88.4,70.0,83.3,63.0,25.3,25.6
12057,26.2,76.1,62.1,57.1,86.5,78.4,84.1,66.5,24.6,21.9
31151,26.8,69.0,59.2,59.4,80.0,68.6,81.7,60.0,21.3,22.5
46102,20.7,73.6,50.2,59.6,75.3,62.8,79.0,43.4,14.2,12.2
51115,12.9,77.7,69.8,58.7,86.1,76.8,86.6,65.5,28.0,28.2
26013,14.5,76.7,63.9,56.9,86.1,71.4,84.6,65.9,24.5,22.0
19115,16.4,75.8,62.1,58.1,82.4,71.9,83.4,62.8,26.5,23.0
20043,16.4,72.1,62.4,56.8,81.9,68.3,83.4,58.3,23.8,22.9
51580,15.1,77.2,62.5,60.4,85.0,73.4,84.4,62.4,25.0,26.1
12029,27.7,71.9,43.2,58.8,81.9,64.7,80.2,57.1,19.2,19.6
17067,14.3,73.9,64.2,55.9,83.7,70.2,83.6,63.6,27.1,22.0
21077,13.3,79.4,54.3,61.2,88.0,70.2,83.4,63.5,26.9,24.4
8011,29.4,64.2,52.1,53.1,80.1,61.0,80.9,55.3,19.0,18.2
47071,21.4,73.9,51.2,61.3,83.9,68.5,82.5,60.2,20.1,18.7
37019,16.8,76.9,66.6,57.3,86.2,75.7,86.0,68.5,30.0,31.2
20011,16.7,72.4,58.1,58.8,81.3,66.5,82.3,54.2,24.2,21.6
36025,13.0,78.0,58.5,57.9,85.3,74.6,85.9,63.4,16.6,20.8
27003,11.5,70.3,73.6,56.8,85.0,74.2,87.4,67.8,25.7,23.6
49021,16.7,66.7,66.5,50.4,79.3,61.8,80.9,58.3,21.8,20.2
48145,34.4,72.8,47.4,60.5,81.9,68.2,80.8,54.9,16.1,16.3
13267,31.9,75.3,50.3,61.3,84.0,71.0,82.4,57.2,19.6,20.4
36045,13.9,79.9,66.2,56.4,85.3,75.6,87.2,68.5,19.5,18.8
47143,21.8,73.9,49.1,59.9,84.0,67.4,82.1,58.5,20.9,17.9
46137,19.7,71.8,52.6,60.3,74.9,70.4,80.2,51.5,17.6,16.3
47105,20.2,75.5,57.8,59.1,86.0,71.2,85.0,64.7,23.9,20.2
21181,14.4,79.5,53.0,63.1,86.6,67.5,81.9,60.9,26.0,23.8
20149,14.2,73.8,66.1,55.6,83.8,72.1,85.0,64.4,27.2,22.9
37185,23.3,78.9,55.2,61.4,85.7,76.0,85.4,62.8,25.2,25.5
13165,32.6,76.5,47.3,64.0,83.6,73.5,82.7,56.0,18.6,20.2
48073,32.1,72.0,52.3,58.8,82.0,68.2,81.0,56.9,17.0,16.7
6097,14.0,68.2,66.9,50.1,86.3,72.5,85.7,73.3,26.5,26.6
48043,30.4,71.9,58.3,56.8,84.3,71.0,83.4,58.6,19.9,18.9
20107,17.6,72.7,56.8,57.4,81.1,67.7,81.5,57.0,24.9,22.1
1001,16.0,77.0,64.0,61.8,87.0,77.5,86.4,69.5,28.1,26.5
23005,12.6,76.7,74.2,51.2,86.2,76.1,89.7,72.6,28.2,23.8
45031,21.0,79.5,54.1,60.5,83.2,75.8,83.8,65.8,26.3,24.8
18161,14.0,74.1,58.9,59.6,82.8,69.2,83.6,62.0,20.6,19.2
16009,21.6,65.4,57.4,52.6,78.0,60.2,80.2,58.8,22.5,19.0
17143,15.4,75.3,63.2,57.4,85.1,71.3,83.3,62.0,26.9,21.4
35043,15.2,67.9,67.2,51.0,82.9,66.5,84.4,60.0,23.2,21.0
26129,15.0,75.4,61.7,56.8,84.9,69.7,84.0,64.9,23.2,21.6
37133,20.0,77.5,65.3,56.8,85.3,74.8,84.9,64.6,27.5,29.7
37121,19.1,75.0,62.3,56.3,84.4,73.5,84.6,64.6,28.9,27.0
2198,15.0,66.3,60.6,50.0,78.8,64.0,82.7,52.7,17.9,19.9
29133,24.5,73.4,42.6,63.7,80.3,65.7,81.0,58.9,22.9,22.5
42073,11.9,75.8,63.1,57.9,83.3,71.5,83.7,67.5,27.2,24.4
29143,22.0,74.0,45.8,62.1,80.4,67.5,81.7,60.3,21.9,22.2
21235,12.3,79.8,54.1,61.9,87.6,71.4,83.4,63.1,26.5,23.3
31065,19.0,67.3,61.3,58.0,79.3,69.0,83.3,59.0,22.1,23.1
13191,24.1,76.8,54.7,60.7,86.0,74.6,84.7,60.8,20.7,22.4
12067,31.0,74.0,50.3,58.1,82.6,69.2,79.8,57.8,20.8,18.2
42013,11.6,76.6,62.0,58.1,83.4,69.2,83.8,66.8,25.6,24.4
46005,19.0,72.2,64.8,57.8,77.9,75.2,82.6,61.9,21.4,21.8
36055,12.4,79.7,71.0,59.3,87.4,77.6,86.5,67.0,20.0,18.3
24017,11.9,79.7,66.9,61.8,89.6,76.4,88.3,67.2,24.2,23.8
39069,13.3,76.7,65.2,57.3,83.1,71.9,85.6,63.5,26.5,24.7
32007,20.0,68.6,61.6,52.9,82.9,69.4,83.6,56.1,28.8,24.2
13045,24.8,74.7,51.4,59.0,85.4,73.0,84.7,59.7,20.7,22.7
20179,15.8,72.1,62.1,56.4,82.7,69.9,84.1,59.2,24.3,24.0
5119,15.7,79.7,64.6,61.4,85.2,74.9,86.0,71.5,25.2,22.3
24039,16.2,77.9,51.1,64.2,86.6,72.0,84.7,62.4,21.8,20.1
13277,28.5,76.9,55.1,60.9,85.3,75.2,84.2,60.9,19.8,22.9
22091,18.3,81.1,47.9,63.3,86.6,74.0,84.7,60.3,17.4,17.0
42131,11.4,76.4,65.8,56.8,83.8,70.9,84.4,65.5,24.8,25.0
47169,20.0,74.8,51.8,59.8,84.8,70.1,83.2,61.9,21.2,18.8
16063,32.3,66.6,57.0,52.4,78.5,61.3,80.2,56.0,21.7,18.7
53047,20.0,64.6,56.8,50.7,78.8,62.0,80.2,57.6,19.6,20.6
18131,15.2,74.6,60.3,59.8,82.4,69.6,83.8,61.0,19.5,18.3
55051,11.8,73.6,65.7,55.0,78.9,68.5,84.0,66.5,21.1,19.8
37069,20.0,77.5,62.0,58.6,86.1,76.0,85.5,65.9,26.9,27.0
21025,14.1,79.8,47.2,64.4,86.6,66.9,79.9,56.4,23.9,24.2
41005,13.5,69.1,70.1,49.1,86.0,72.7,87.7,69.4,23.0,23.6
39149,12.2,76.1,65.2,57.8,82.6,71.5,85.4,64.5,25.5,22.0
51730,19.7,81.1,55.9,65.0,87.4,78.3,86.0,60.6,20.8,23.6
29229,22.0,72.7,47.4,61.4,78.9,62.9,80.4,57.4,22.8,21.7
28011,24.8,80.7,47.5,68.3,85.5,69.3,84.4,58.2,20.8,18.1
5009,15.2,76.3,55.7,59.1,82.5,69.8,83.3,61.1,18.9,19.2
39123,12.7,75.9,65.6,57.3,83.0,73.3,85.2,61.9,26.0,24.3
17177,15.7,73.8,62.8,57.3,84.2,69.2,83.8,64.0,24.5,20.9
18067,14.3,76.4,60.6,60.8,83.8,71.9,84.4,61.1,20.0,20.3
26119,14.0,75.8,65.5,55.5,85.4,71.5,84.5,67.1,25.5,22.4
36109,10.2,77.8,69.1,57.4,87.0,76.6,85.0,73.4,23.0,19.4
6063,11.2,69.5,66.7,50.2,85.5,72.1,85.1,67.7,23.5,25.4
8063,19.6,65.1,60.7,50.1,83.0,62.3,83.0,58.1,22.1,20.1
41047,19.9,73.4,61.2,51.8,85.2,67.8,85.2,64.7,20.0,20.7
48199,22.9,71.4,55.4,58.2,82.3,68.6,82.6,60.2,19.4,18.5
21151,10.3,81.0,62.8,61.9,89.6,73.8,84.9,68.1,30.2,28.9
50005,11.4,69.5,66.6,54.5,80.4,69.3,83.6,68.5,22.1,21.1
29079,18.3,73.1,56.3,59.5,81.5,66.9,83.5,63.7,26.3,24.3
48243,31.7,71.5,59.9,56.6,83.4,71.0,83.6,59.6,19.5,19.3
47135,23.2,74.3,46.5,61.1,82.9,65.4,80.7,57.7,19.0,16.8
46041,18.0,74.9,54.5,58.8,77.0,68.6,82.5,55.4,18.5,15.8
46069,12.6,72.7,68.6,55.2,79.8,74.9,85.8,64.0,22.9,22.1
51185,15.3,76.2,59.4,60.0,83.8,68.0,83.6,59.4,25.8,25.1
39039,14.3,76.1,67.4,58.1,83.0,73.4,85.4,62.7,24.9,24.9
28085,20.7,76.6,48.3,65.5,84.6,68.8,84.5,59.9,27.3,21.2
48507,50.9,70.2,38.4,60.7,79.4,66.5,77.4,43.7,11.5,13.0
35025,22.8,67.1,53.9,53.8,80.0,63.4,79.4,48.3,18.4,16.3
48273,39.3,71.3,51.9,58.4,82.6,69.8,81.7,53.1,15.7,16.1
30041,14.2,68.5,60.3,53.1,79.7,62.6,82.2,54.8,22.8,21.4
21003,12.4,79.8,54.7,62.5,88.0,70.7,83.4,64.1,27.3,23.7
48009,22.1,71.5,59.4,56.6,82.9,68.3,83.5,61.7,20.6,18.7
